away_line,Season,Wins,Totals,Ratio
-19.5,2007,0,1,0
-16,2007,1,1,1
-15.5,2007,1,1,1
-15.5,2009,1,1,1
-15.5,2013,1,1,1
-14.5,2009,1,3,0.333333333
-14.5,2012,0,1,0
-14,2007,1,1,1
-14,2009,0,3,0
-14,2011,0,1,0
-13.5,2007,0,1,0
-13.5,2010,1,1,1
-13,2006,0,1,0
-13,2013,0,1,0
-13,2014,1,1,1
-12.5,2011,1,1,1
-12.5,2015,1,1,1
-11.5,2009,1,2,0.5
-11.5,2011,0,3,0
-11,2007,1,2,0.5
-11,2008,1,1,1
-11,2009,1,1,1
-11,2011,2,2,1
-11,2014,1,1,1
-11,2015,0,1,0
-10.5,2007,0,1,0
-10.5,2008,0,1,0
-10.5,2009,2,2,1
-10.5,2011,0,1,0
-10.5,2012,2,2,1
-10.5,2013,0,1,0
-10.5,2016,1,1,1
-10,2006,2,2,1
-10,2007,1,2,0.5
-10,2008,1,1,1
-10,2009,2,5,0.4
-10,2010,0,1,0
-10,2012,1,1,1
-10,2013,1,1,1
-10,2014,1,1,1
-10,2015,1,2,0.5
-10,2016,1,1,1
-9.5,2008,0,1,0
-9.5,2009,1,2,0.5
-9.5,2012,0,1,0
-9.5,2013,3,3,1
-9.5,2014,1,2,0.5
-9,2006,0,2,0
-9,2007,2,3,0.666666667
-9,2008,2,4,0.5
-9,2009,2,2,1
-9,2010,0,1,0
-9,2011,1,1,1
-9,2012,1,1,1
-9,2013,1,2,0.5
-9,2014,1,1,1
-9,2015,0,1,0
-9,2016,1,1,1
-8.5,2007,1,2,0.5
-8.5,2008,1,1,1
-8.5,2009,0,3,0
-8.5,2010,0,1,0
-8.5,2014,0,1,0
-8.5,2015,1,1,1
-8,2006,2,3,0.666666667
-8,2007,1,1,1
-8,2008,3,5,0.6
-8,2009,1,1,1
-8,2012,0,1,0
-8,2014,0,1,0
-8,2015,1,1,1
-8,2016,2,2,1
-7.5,2006,0,1,0
-7.5,2007,1,3,0.333333333
-7.5,2008,1,1,1
-7.5,2010,1,2,0.5
-7.5,2011,3,5,0.6
-7.5,2013,1,1,1
-7.5,2014,1,1,1
-7.5,2015,1,1,1
-7,2006,1,3,0.333333333
-7,2007,3,5,0.6
-7,2008,7,9,0.777777778
-7,2009,4,4,1
-7,2010,3,5,0.6
-7,2011,8,10,0.8
-7,2012,6,7,0.857142857
-7,2013,5,7,0.714285714
-7,2014,7,11,0.636363636
-7,2015,4,6,0.666666667
-7,2016,2,3,0.666666667
-6.5,2006,3,3,1
-6.5,2007,2,3,0.666666667
-6.5,2008,1,2,0.5
-6.5,2009,4,4,1
-6.5,2010,3,3,1
-6.5,2011,4,8,0.5
-6.5,2012,4,8,0.5
-6.5,2013,2,4,0.5
-6.5,2014,1,1,1
-6.5,2015,2,2,1
-6.5,2016,2,2,1
