home_line,Season,Wins,Totals,Ratio
-26.5,2013,0,1,0
-24.5,2007,0,1,0
-22,2007,1,1,1
-20.5,2007,0,1,0
-20.5,2011,0,1,0
-20,2013,1,1,1
-18,2006,0,1,0
-17,2008,0,1,0
-17,2009,1,1,1
-17,2011,1,1,1
-17,2012,1,1,1
-16.5,2006,1,1,1
-16.5,2007,1,1,1
-16.5,2012,1,1,1
-16.5,2013,1,1,1
-16,2007,0,1,0
-16,2008,1,3,0.333333333
-16,2009,1,1,1
-16,2011,1,1,1
-16,2012,0,1,0
-16,2014,1,1,1
-16,2015,1,1,1
-15.5,2006,1,1,1
-15.5,2007,1,1,1
-15.5,2012,0,1,0
-15.5,2013,0,1,0
-15,2007,0,1,0
-15,2008,0,1,0
-15,2009,1,2,0.5
-14.5,2007,2,2,1
-14.5,2008,1,1,1
-14.5,2010,2,5,0.4
-14.5,2011,1,1,1
-14.5,2013,1,2,0.5
-14.5,2015,2,2,1
-14,2006,0,2,0
-14,2007,2,2,1
-14,2008,1,3,0.333333333
-14,2009,6,7,0.857142857
-14,2010,1,2,0.5
-14,2011,6,7,0.857142857
-14,2014,1,1,1
-14,2015,2,2,1
-14,2016,0,1,0
-13.5,2006,0,3,0
-13.5,2007,2,2,1
-13.5,2008,2,3,0.666666667
-13.5,2009,4,5,0.8
-13.5,2011,3,3,1
-13.5,2012,2,5,0.4
-13.5,2014,2,4,0.5
-13.5,2015,1,1,1
-13,2006,2,6,0.333333333
-13,2007,1,1,1
-13,2008,0,3,0
-13,2009,1,2,0.5
-13,2010,2,3,0.666666667
-13,2011,1,2,0.5
-13,2012,0,1,0
-13,2013,1,1,1
-13,2014,1,3,0.333333333
-13,2015,1,1,1
-12.5,2006,2,2,1
-12.5,2007,1,2,0.5
-12.5,2008,0,1,0
-12.5,2009,0,1,0
-12.5,2010,1,5,0.2
-12.5,2011,1,2,0.5
-12.5,2013,2,2,1
-12.5,2015,1,1,1
-12,2006,1,3,0.333333333
-12,2007,1,1,1
-12,2008,2,2,1
-12,2009,1,1,1
-12,2011,1,1,1
-11.5,2006,3,3,1
-11.5,2007,1,1,1
-11.5,2008,3,3,1
-11.5,2009,2,2,1
-11.5,2010,1,1,1
-11.5,2011,0,1,0
-11.5,2012,3,3,1
-11.5,2013,3,6,0.5
-11.5,2015,0,1,0
-11.5,2016,1,1,1
-11,2006,1,3,0.333333333
-11,2007,1,3,0.333333333
-11,2008,1,1,1
-11,2009,3,3,1
-11,2010,1,1,1
-11,2011,2,2,1
-11,2012,5,6,0.833333333
-11,2013,2,2,1
-11,2014,4,4,1
-11,2016,1,1,1
-10.5,2006,1,4,0.25
-10.5,2007,3,4,0.75
-10.5,2008,1,3,0.333333333
-10.5,2009,3,5,0.6
-10.5,2010,1,1,1
-10.5,2011,3,3,1
-10.5,2012,3,3,1
-10.5,2013,1,4,0.25
-10.5,2014,1,1,1
-10.5,2015,1,2,0.5
-10.5,2016,1,2,0.5
-10,2006,5,7,0.714285714
-10,2007,7,9,0.777777778
-10,2008,3,7,0.428571429
-10,2009,2,4,0.5
-10,2010,6,6,1
-10,2011,8,11,0.727272727
-10,2012,5,6,0.833333333
-10,2013,4,6,0.666666667
-10,2014,4,6,0.666666667
-10,2015,6,11,0.545454545
-10,2016,1,2,0.5
-9.5,2006,5,6,0.833333333
-9.5,2007,7,9,0.777777778
-9.5,2008,3,3,1
-9.5,2009,2,4,0.5
-9.5,2010,1,2,0.5
-9.5,2011,3,4,0.75
-9.5,2012,3,3,1
-9.5,2013,2,5,0.4
-9.5,2014,4,6,0.666666667
-9.5,2015,1,2,0.5
-9,2006,6,7,0.857142857
-9,2007,8,8,1
-9,2008,4,6,0.666666667
-9,2009,3,5,0.6
-9,2010,3,5,0.6
-9,2011,5,7,0.714285714
-9,2012,1,3,0.333333333
-9,2013,2,3,0.666666667
-9,2014,9,11,0.818181818
-9,2015,3,4,0.75
-9,2016,2,3,0.666666667
-8.5,2006,1,1,1
-8.5,2007,1,1,1
-8.5,2008,2,2,1
-8.5,2009,4,6,0.666666667
-8.5,2011,2,2,1
-8.5,2012,0,1,0
-8.5,2013,2,2,1
-8.5,2014,2,3,0.666666667
-8.5,2016,1,1,1
-8,2006,1,3,0.333333333
-8,2007,0,1,0
-8,2008,7,8,0.875
-8,2009,4,5,0.8
-8,2010,3,3,1
-8,2011,1,4,0.25
-8,2012,5,6,0.833333333
-8,2013,3,4,0.75
-8,2014,1,2,0.5
-8,2015,2,4,0.5
-7.5,2006,4,4,1
-7.5,2007,6,7,0.857142857
-7.5,2008,2,2,1
-7.5,2009,6,8,0.75
-7.5,2010,5,6,0.833333333
-7.5,2011,6,6,1
-7.5,2012,6,9,0.666666667
-7.5,2013,11,13,0.846153846
-7.5,2014,4,4,1
-7.5,2015,4,4,1
-7.5,2016,5,7,0.714285714
-7,2006,12,14,0.857142857
-7,2007,6,9,0.666666667
-7,2008,10,14,0.714285714
-7,2009,9,11,0.818181818
-7,2010,5,11,0.454545455
-7,2011,18,22,0.818181818
-7,2012,11,17,0.647058824
-7,2013,7,12,0.583333333
-7,2014,15,19,0.789473684
-7,2015,13,18,0.722222222
-7,2016,10,11,0.909090909
-6.5,2006,7,13,0.538461538
-6.5,2007,4,7,0.571428571
-6.5,2008,8,14,0.571428571
-6.5,2009,3,7,0.428571429
-6.5,2010,3,5,0.6
-6.5,2011,3,3,1
-6.5,2012,7,7,1
-6.5,2013,9,9,1
-6.5,2014,7,11,0.636363636
-6.5,2015,2,7,0.285714286
-6.5,2016,5,5,1
-6,2006,2,7,0.285714286
-6,2007,5,9,0.555555556
-6,2008,4,4,1
-6,2009,8,8,1
-6,2010,2,7,0.285714286
-6,2011,3,6,0.5
-6,2012,7,8,0.875
-6,2013,3,7,0.428571429
-6,2014,5,10,0.5
-6,2015,7,14,0.5
-6,2016,7,10,0.7
-5.5,2006,1,3,0.333333333
-5.5,2007,5,6,0.833333333
-5.5,2008,5,9,0.555555556
-5.5,2009,4,5,0.8
-5.5,2010,4,6,0.666666667
-5.5,2011,0,1,0
-5.5,2012,2,3,0.666666667
-5.5,2013,5,6,0.833333333
-5.5,2014,6,6,1
-5.5,2015,1,2,0.5
-5.5,2016,0,1,0
-5,2006,6,9,0.666666667
-5,2007,3,4,0.75
-5,2008,3,6,0.5
-5,2009,3,5,0.6
-5,2010,4,6,0.666666667
-5,2011,3,5,0.6
-5,2012,4,6,0.666666667
-5,2013,2,4,0.5
-5,2014,2,3,0.666666667
-5,2015,4,7,0.571428571
-5,2016,3,5,0.6
-4.5,2006,2,4,0.5
-4.5,2007,3,6,0.5
-4.5,2008,4,7,0.571428571
-4.5,2009,1,5,0.2
-4.5,2010,6,6,1
-4.5,2011,4,8,0.5
-4.5,2012,6,7,0.857142857
-4.5,2013,7,9,0.777777778
-4.5,2014,7,10,0.7
-4.5,2015,4,4,1
-4.5,2016,0,2,0
-4,2006,4,10,0.4
-4,2007,4,6,0.666666667
-4,2008,8,11,0.727272727
-4,2009,5,6,0.833333333
-4,2010,5,10,0.5
-4,2011,8,10,0.8
-4,2012,6,9,0.666666667
-4,2013,7,7,1
-4,2014,7,8,0.875
-4,2015,5,8,0.625
-4,2016,10,15,0.666666667
-3.5,2006,6,8,0.75
-3.5,2007,8,11,0.727272727
-3.5,2008,4,6,0.666666667
-3.5,2009,5,10,0.5
-3.5,2010,5,7,0.714285714
-3.5,2011,9,15,0.6
-3.5,2012,8,16,0.5
-3.5,2013,12,14,0.857142857
-3.5,2014,5,6,0.833333333
-3.5,2015,12,20,0.6
-3.5,2016,11,16,0.6875
-3,2006,15,35,0.428571429
-3,2007,19,33,0.575757576
-3,2008,18,34,0.529411765
-3,2009,15,23,0.652173913
-3,2010,11,22,0.5
-3,2011,17,28,0.607142857
-3,2012,14,27,0.518518519
-3,2013,16,21,0.761904762
-3,2014,13,32,0.40625
-3,2015,23,34,0.676470588
-3,2016,17,25,0.68
-2.5,2006,5,9,0.555555556
-2.5,2007,3,7,0.428571429
-2.5,2008,4,9,0.444444444
-2.5,2009,3,6,0.5
-2.5,2010,8,11,0.727272727
-2.5,2011,5,12,0.416666667
-2.5,2012,2,3,0.666666667
-2.5,2013,16,19,0.842105263
-2.5,2014,8,11,0.727272727
-2.5,2015,8,11,0.727272727
-2.5,2016,5,9,0.555555556
-2,2006,4,5,0.8
-2,2007,2,2,1
-2,2008,4,6,0.666666667
-2,2009,3,6,0.5
-2,2010,3,4,0.75
-2,2011,2,4,0.5
-2,2012,3,4,0.75
-2,2013,3,3,1
-2,2014,4,5,0.8
-2,2015,3,8,0.375
-2,2016,2,3,0.666666667
-1.5,2006,3,4,0.75
-1.5,2007,2,3,0.666666667
-1.5,2008,6,6,1
-1.5,2009,4,4,1
-1.5,2010,5,6,0.833333333
-1.5,2011,4,7,0.571428571
-1.5,2012,2,3,0.666666667
-1.5,2013,1,1,1
-1.5,2014,5,7,0.714285714
-1.5,2015,2,3,0.666666667
-1.5,2016,2,3,0.666666667
-1,2006,3,7,0.428571429
-1,2007,4,5,0.8
-1,2008,5,8,0.625
-1,2009,3,4,0.75
-1,2010,4,6,0.666666667
-1,2011,5,7,0.714285714
-1,2012,1,7,0.142857143
-1,2013,1,2,0.5
-1,2014,1,7,0.142857143
-1,2015,7,12,0.583333333
-1,2016,5,6,0.833333333
0,2006,0,2,0
0,2007,1,1,1
0,2009,0,1,0
0,2010,4,4,1
0,2011,0,1,0
0,2012,1,3,0.333333333
0,2013,1,2,0.5
0,2014,0,1,0
0,2015,4,8,0.5
0,2016,4,6,0.666666667
1,2006,3,5,0.6
1,2007,3,5,0.6
1,2008,3,4,0.75
1,2009,3,3,1
1,2010,3,4,0.75
1,2011,6,6,1
