dog_line,Season,Wins,Totals,Ratio
0,2006,0,2,0
0,2007,1,1,1
0,2009,0,1,0
0,2010,4,4,1
0,2011,0,1,0
0,2012,1,3,0.333333333
0,2013,1,2,0.5
0,2014,0,1,0
0,2015,4,8,0.5
0,2016,4,6,0.666666667
1,2006,8,12,0.666666667
1,2007,5,10,0.5
1,2008,7,12,0.583333333
1,2009,4,7,0.571428571
1,2010,6,10,0.6
1,2011,12,13,0.923076923
1,2012,9,10,0.9
1,2013,7,16,0.4375
1,2014,12,15,0.8
1,2015,11,17,0.647058824
1,2016,10,14,0.714285714
1.5,2006,3,7,0.428571429
1.5,2007,4,7,0.571428571
1.5,2008,4,8,0.5
1.5,2009,4,6,0.666666667
1.5,2010,7,8,0.875
1.5,2011,9,11,0.818181818
1.5,2012,10,11,0.909090909
1.5,2013,3,6,0.5
1.5,2014,5,10,0.5
1.5,2015,5,7,0.714285714
1.5,2016,5,5,1
2,2006,8,11,0.727272727
2,2007,3,6,0.5
2,2008,5,9,0.555555556
2,2009,6,7,0.857142857
2,2010,6,9,0.666666667
2,2011,9,9,1
2,2012,8,10,0.8
2,2013,6,7,0.857142857
2,2014,4,6,0.666666667
2,2015,10,14,0.714285714
2,2016,3,5,0.6
2.5,2006,12,14,0.857142857
2.5,2007,16,18,0.888888889
2.5,2008,9,12,0.75
2.5,2009,8,13,0.615384615
2.5,2010,14,14,1
2.5,2011,11,18,0.611111111
2.5,2012,7,11,0.636363636
2.5,2013,22,29,0.75862069
2.5,2014,10,14,0.714285714
2.5,2015,13,19,0.684210526
2.5,2016,16,20,0.8
3,2006,43,53,0.811320755
3,2007,38,50,0.76
3,2008,41,58,0.706896552
3,2009,31,42,0.738095238
3,2010,31,39,0.794871795
3,2011,36,50,0.72
3,2012,40,51,0.784313725
3,2013,29,40,0.725
3,2014,38,59,0.644067797
3,2015,45,65,0.692307692
3,2016,28,37,0.756756757
3.5,2006,9,18,0.5
3.5,2007,14,20,0.7
3.5,2008,8,12,0.666666667
3.5,2009,12,18,0.666666667
3.5,2010,11,16,0.6875
3.5,2011,14,22,0.636363636
3.5,2012,15,22,0.681818182
3.5,2013,12,18,0.666666667
3.5,2014,6,10,0.6
3.5,2015,16,24,0.666666667
3.5,2016,18,20,0.9
4,2006,14,16,0.875
4,2007,6,10,0.6
4,2008,9,13,0.692307692
4,2009,4,8,0.5
4,2010,11,15,0.733333333
4,2011,8,13,0.615384615
4,2012,13,17,0.764705882
4,2013,8,14,0.571428571
4,2014,11,15,0.733333333
4,2015,8,14,0.571428571
4,2016,11,16,0.6875
4.5,2006,4,5,0.8
4.5,2007,9,11,0.818181818
4.5,2008,8,8,1
4.5,2009,5,8,0.625
4.5,2010,5,6,0.833333333
4.5,2011,7,11,0.636363636
4.5,2012,5,9,0.555555556
4.5,2013,7,15,0.466666667
4.5,2014,9,11,0.818181818
4.5,2015,4,5,0.8
4.5,2016,2,3,0.666666667
5,2006,10,11,0.909090909
5,2007,2,5,0.4
5,2008,5,9,0.555555556
5,2009,6,7,0.857142857
5,2010,7,10,0.7
5,2011,4,6,0.666666667
5,2012,4,10,0.4
5,2013,5,5,1
5,2014,5,5,1
5,2015,9,11,0.818181818
5,2016,6,7,0.857142857
5.5,2006,4,6,0.666666667
5.5,2007,6,11,0.545454545
5.5,2008,9,10,0.9
5.5,2009,5,7,0.714285714
5.5,2010,7,11,0.636363636
5.5,2011,2,2,1
5.5,2012,2,4,0.5
5.5,2013,5,8,0.625
5.5,2014,6,8,0.75
5.5,2015,3,4,0.75
5.5,2016,4,5,0.8
6,2006,13,16,0.8125
6,2007,7,10,0.7
6,2008,8,11,0.727272727
6,2009,9,13,0.692307692
6,2010,5,10,0.5
6,2011,8,10,0.8
6,2012,6,12,0.5
6,2013,8,11,0.727272727
6,2014,12,16,0.75
6,2015,14,18,0.777777778
6,2016,7,10,0.7
6.5,2006,12,16,0.75
6.5,2007,7,10,0.7
6.5,2008,11,16,0.6875
6.5,2009,8,11,0.727272727
6.5,2010,5,8,0.625
6.5,2011,10,11,0.909090909
6.5,2012,9,15,0.6
6.5,2013,9,13,0.692307692
6.5,2014,9,12,0.75
6.5,2015,5,9,0.555555556
6.5,2016,6,7,0.857142857
7,2006,9,17,0.529411765
7,2007,9,14,0.642857143
7,2008,10,23,0.434782609
7,2009,9,15,0.6
7,2010,12,16,0.75
7,2011,19,32,0.59375
7,2012,13,24,0.541666667
7,2013,12,19,0.631578947
